0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
314.25,322,299.75,215.5,151,132.75,128,121.75,125.25,128.5,131.25,161.75,190.5,190.5,185.75,171.75,170.75,185.25,216.75,332.75,413,424.25,395.5,384.5
325.5,282.25,302,332,271,249.25,272.75,278.75,310.75,331.75,288.25,266.75,178.25,116,97.5,91.25,97.5,106,129.5,169.75,216,330.5,432,450
379.5,300.75,301.5,271.5,227,183.25,117.75,80.25,79.75,101.25,104.25,118.5,109.75,96.75,84.25,89.25,91.25,99.25,104.25,132.5,149.25,175.75,181,176.5
151.25,157,141.5,128.5,124.5,140.75,137.5,133.25,206.5,224.5,180.5,192,219,NAN,173,124.25,96,105.25,121,230.25,336,332.5,239,201.75
151.5,154,143,129.25,168.25,175.75,187,207,206,210,193.5,169,129,86.5,74.5,70.25,66.25,72.5,98.5,159.75,204.5,228.75,244.25,264
227.5,225,193.25,222,236,219,206.5,191.25,196.75,208.75,174.75,117.5,84.25,69.25,68,61.5,51,54.75,68.25,156.5,203,210,225.75,214.25
195,185,250.25,247,263.25,229,226.5,221.25,215.75,221,200.75,173,143.75,109.25,89.5,68.25,53.75,57,74.75,104.5,171,360.25,626.25,715.25
581.5,450.5,439.25,314.75,263.75,283.25,263,230.75,247.5,301.75,303.75,306.5,267,182,109.25,NAN,114,113.25,116,134,226.5,475.25,434.25,364.75
336,372.5,398,392.25,368.5,296.25,252.25,245.75,265.25,269.75,401.25,503.25,388,196,157,183.5,155,145.75,178.5,221.75,325.5,313,314.75,233.75
317,482.25,439.75,400.5,323.25,234.75,193,205.25,202.25,222,253.5,263.5,256.75,217.75,188,182,165.75,188.75,225.5,235,199,129.25,103.75,85
