0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
282.75,255.75,236.5,235.5,224.25,183.5,149.5,147,156.75,204.5,258.5,247.5,204.5,188.25,95,NAN,41.25,181.25,227.25,260,282,326.5,420.25,584.75
539,376.25,352.75,333.25,313,280.25,230,159.25,215.75,279.25,274,198.75,171,107.25,123.75,102.5,114.5,126.75,164.75,225.75,301,360.75,343.25,265.5
238.25,231.25,220.25,217.5,242,212.75,152.25,117.25,99.25,106,132.5,150.5,162.25,129.5,135.75,146.5,149,169,232,232.25,180,205,218.25,216.75
221.75,192,172,175.75,171.25,156.5,160.25,174.25,185.75,213.75,220.75,196,194,220,216.5,159.25,114.25,115,157.25,232.25,290.5,278,224.25,169
156.5,147,137.25,128,133.25,135.75,164.25,184.5,187.25,200.75,190.25,171.25,161,120.5,97.5,85.25,74.25,94,118,160.5,225.25,235,215.5,206.75
176.75,155,151.75,147.5,132.75,131.75,137.25,143.5,167.75,160,126.5,99.5,89.75,70.5,64.75,64.75,61.5,61.75,82.75,120,172.5,214,228.5,247
243.25,202.75,182.25,180.25,175.75,175.75,171.75,167,167,167,167,168.75,NAN,NAN,NAN,0,0,NAN,35,164.75,224.5,275.75,330.25,426.75
492.5,461.25,407.75,371,363.75,327,342.75,349.5,321.75,355.5,360.25,264.5,128,132.75,200.25,210.75,NAN,39,180,237,296.5,326.75,353.75,406.25
430.5,427.75,397.5,379.75,327,299.5,296,302,361.5,398.75,365.25,320.5,206,198,174.25,164.75,184.75,189.25,209,245.75,283.5,162.75,0,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
0,0,0,0,0,0,0,0,0,0,0,37.75,0,NAN,11,NAN,22.5,54.5,65.5,104.5,133,127.25,106.75,100
84.5,82,78,75.5,77.75,93,113,130.5,149,159.75,153.5,159.75,138.75,95.5,75.5,75.5,66.25,85,123.5,163,218.75,244,256,275.25
