CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Tuesday, Jul 23 2019",,
Time: 09:48:01 PM,,
State,Delhi,
City,Delhi,
Station,"R K Puram, Delhi - DPCC",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,22-07-2019T00:00:00Z 00:00,
To,23-07-2019T21:44:59Z 00:00,
,,
"R K Puram, Delhi - DPCC",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
22-07-2019 00:00,22-07-2019 00:15,36
22-07-2019 00:15,22-07-2019 00:30,36
22-07-2019 00:30,22-07-2019 00:45,36
22-07-2019 00:45,22-07-2019 01:00,36
22-07-2019 01:00,22-07-2019 01:15,47
22-07-2019 01:15,22-07-2019 01:30,47
22-07-2019 01:30,22-07-2019 01:45,47
22-07-2019 01:45,22-07-2019 02:00,47
22-07-2019 02:00,22-07-2019 02:15,57
22-07-2019 02:15,22-07-2019 02:30,57
22-07-2019 02:30,22-07-2019 02:45,57
22-07-2019 02:45,22-07-2019 03:00,57
22-07-2019 03:00,22-07-2019 03:15,45
22-07-2019 03:15,22-07-2019 03:30,45
22-07-2019 03:30,22-07-2019 03:45,45
22-07-2019 03:45,22-07-2019 04:00,45
22-07-2019 04:00,22-07-2019 04:15,74
22-07-2019 04:15,22-07-2019 04:30,74
22-07-2019 04:30,22-07-2019 04:45,74
22-07-2019 04:45,22-07-2019 05:00,74
22-07-2019 05:00,22-07-2019 05:15,56
22-07-2019 05:15,22-07-2019 05:30,56
22-07-2019 05:30,22-07-2019 05:45,56
22-07-2019 05:45,22-07-2019 06:00,56
22-07-2019 06:00,22-07-2019 06:15,46
22-07-2019 06:15,22-07-2019 06:30,46
22-07-2019 06:30,22-07-2019 06:45,46
22-07-2019 06:45,22-07-2019 07:00,46
22-07-2019 07:00,22-07-2019 07:15,59
22-07-2019 07:15,22-07-2019 07:30,59
22-07-2019 07:30,22-07-2019 07:45,59
22-07-2019 07:45,22-07-2019 08:00,59
22-07-2019 08:00,22-07-2019 08:15,25
22-07-2019 08:15,22-07-2019 08:30,25
22-07-2019 08:30,22-07-2019 08:45,25
22-07-2019 08:45,22-07-2019 09:00,25
22-07-2019 09:00,22-07-2019 09:15,28
22-07-2019 09:15,22-07-2019 09:30,28
22-07-2019 09:30,22-07-2019 09:45,28
22-07-2019 09:45,22-07-2019 10:00,28
22-07-2019 10:00,22-07-2019 10:15,48
22-07-2019 10:15,22-07-2019 10:30,48
22-07-2019 10:30,22-07-2019 10:45,48
22-07-2019 10:45,22-07-2019 11:00,48
22-07-2019 11:00,22-07-2019 11:15,52
22-07-2019 11:15,22-07-2019 11:30,52
22-07-2019 11:30,22-07-2019 11:45,52
22-07-2019 11:45,22-07-2019 12:00,52
22-07-2019 12:00,22-07-2019 12:15,78
22-07-2019 12:15,22-07-2019 12:30,78
22-07-2019 12:30,22-07-2019 12:45,78
