CENTRAL POLLUTION CONTROL BOARD,,,
CONTINUOUS AMBIENT AIR QUALITY,,,
"Date: Monday, Jun 24 2019",,,
Time: 09:33:27 AM,,,
State,Delhi,,
City,Delhi,,
Station,"ITO, Delhi - CPCB",,
Parameter,"PM2.5,PM10,RH",,
AvgPeriod,15 Minute,,
From,11-06-2019T00:00:00Z 00:00,,
To,17-06-2019T00:00:59Z 00:00,,
,,,
"ITO, Delhi - CPCB",,,
Prescribed Standards, ,0-60,0-100
Exceeding Standards, ,NA,NA
Remarks,,,
From Date,To Date,PM2.5,PM10
11-06-2019 00:00,11-06-2019 00:15,122,276
11-06-2019 00:15,11-06-2019 00:30,120,276
11-06-2019 00:30,11-06-2019 00:45,118,269
11-06-2019 00:45,11-06-2019 01:00,113,251
11-06-2019 01:00,11-06-2019 01:15,110,240
11-06-2019 01:15,11-06-2019 01:30,107,235
11-06-2019 01:30,11-06-2019 01:45,102,227
11-06-2019 01:45,11-06-2019 02:00,95,219
11-06-2019 02:00,11-06-2019 02:15,89,214
11-06-2019 02:15,11-06-2019 02:30,86,234
11-06-2019 02:30,11-06-2019 02:45,87,285
11-06-2019 02:45,11-06-2019 03:00,93,356
11-06-2019 03:00,11-06-2019 03:15,99,432
11-06-2019 03:15,11-06-2019 03:30,106,490
11-06-2019 03:30,11-06-2019 03:45,113,534
11-06-2019 03:45,11-06-2019 04:00,117,563
11-06-2019 04:00,11-06-2019 04:15,122,583
11-06-2019 04:15,11-06-2019 04:30,125,596
11-06-2019 04:30,11-06-2019 04:45,128,607
11-06-2019 04:45,11-06-2019 05:00,134,631
11-06-2019 05:00,11-06-2019 05:15,140,670
11-06-2019 05:15,11-06-2019 05:30,149,726
11-06-2019 05:30,11-06-2019 05:45,159,794
11-06-2019 05:45,11-06-2019 06:00,167,852
11-06-2019 06:00,11-06-2019 06:15,173,894
11-06-2019 06:15,11-06-2019 06:30,176,904
11-06-2019 06:30,11-06-2019 06:45,178,890
11-06-2019 06:45,11-06-2019 07:00,180,865
11-06-2019 07:00,11-06-2019 07:15,181,840
11-06-2019 07:15,11-06-2019 07:30,182,829
11-06-2019 07:30,11-06-2019 07:45,186,828
11-06-2019 07:45,11-06-2019 08:00,192,844
11-06-2019 08:00,11-06-2019 08:15,201,879
11-06-2019 08:15,11-06-2019 08:30,211,917
11-06-2019 08:30,11-06-2019 08:45,219,944
11-06-2019 08:45,11-06-2019 09:00,223,956
11-06-2019 09:00,11-06-2019 09:15,230,961
11-06-2019 09:15,11-06-2019 09:30,237,978
11-06-2019 09:30,11-06-2019 09:45,245,990
11-06-2019 09:45,11-06-2019 10:00,254,NAN
11-06-2019 10:00,11-06-2019 10:15,256,NAN
11-06-2019 10:15,11-06-2019 10:30,250,NAN
11-06-2019 10:30,11-06-2019 10:45,235,955
11-06-2019 10:45,11-06-2019 11:00,206,880
11-06-2019 11:00,11-06-2019 11:15,179,762
11-06-2019 11:15,11-06-2019 11:30,155,652
11-06-2019 11:30,11-06-2019 11:45,138,576
11-06-2019 11:45,11-06-2019 12:00,130,531
11-06-2019 12:00,11-06-2019 12:15,118,485
11-06-2019 12:15,11-06-2019 12:30,108,431
11-06-2019 12:30,11-06-2019 12:45,97,368
11-06-2019 12:45,11-06-2019 13:00,85,309
11-06-2019 13:00,11-06-2019 13:15,72,245
11-06-2019 13:15,11-06-2019 13:30,63,208
11-06-2019 13:30,11-06-2019 13:45,56,178
11-06-2019 13:45,11-06-2019 14:00,53,159
11-06-2019 14:00,11-06-2019 14:15,55,160
11-06-2019 14:15,11-06-2019 14:30,55,153
11-06-2019 14:30,11-06-2019 14:45,54,143
11-06-2019 14:45,11-06-2019 15:00,54,140
11-06-2019 15:00,11-06-2019 15:15,58,161
11-06-2019 15:15,11-06-2019 15:30,62,192
11-06-2019 15:30,11-06-2019 15:45,68,224
11-06-2019 15:45,11-06-2019 16:00,72,248
11-06-2019 16:00,11-06-2019 16:15,70,241
11-06-2019 16:15,11-06-2019 16:30,69,219
11-06-2019 16:30,11-06-2019 16:45,68,203
11-06-2019 16:45,11-06-2019 17:00,67,190
11-06-2019 17:00,11-06-2019 17:15,66,184
11-06-2019 17:15,11-06-2019 17:30,67,183
11-06-2019 17:30,11-06-2019 17:45,65,179
11-06-2019 17:45,11-06-2019 18:00,67,185
11-06-2019 18:00,11-06-2019 18:15,69,190
11-06-2019 18:15,11-06-2019 18:30,70,194
11-06-2019 18:30,11-06-2019 18:45,72,198
11-06-2019 18:45,11-06-2019 19:00,70,192
11-06-2019 19:00,11-06-2019 19:15,69,182
11-06-2019 19:15,11-06-2019 19:30,68,170
11-06-2019 19:30,11-06-2019 19:45,70,171
11-06-2019 19:45,11-06-2019 20:00,74,179
11-06-2019 20:00,11-06-2019 20:15,76,187
11-06-2019 20:15,11-06-2019 20:30,80,200
11-06-2019 20:30,11-06-2019 20:45,82,208
11-06-2019 20:45,11-06-2019 21:00,84,217
11-06-2019 21:00,11-06-2019 21:15,91,235
11-06-2019 21:15,11-06-2019 21:30,95,249
11-06-2019 21:30,11-06-2019 21:45,97,258
11-06-2019 21:45,11-06-2019 22:00,99,265
11-06-2019 22:00,11-06-2019 22:15,99,276
11-06-2019 22:15,11-06-2019 22:30,100,284
11-06-2019 22:30,11-06-2019 22:45,104,298
11-06-2019 22:45,11-06-2019 23:00,108,312
11-06-2019 23:00,11-06-2019 23:15,111,316
11-06-2019 23:15,11-06-2019 23:30,114,319
11-06-2019 23:30,11-06-2019 23:45,112,316
11-06-2019 23:45,12-06-2019 00:00,NAN,NAN
12-06-2019 00:00,12-06-2019 00:15,115,315
12-06-2019 00:15,12-06-2019 00:30,118,324
12-06-2019 00:30,12-06-2019 00:45,119,324
12-06-2019 00:45,12-06-2019 01:00,116,316
12-06-2019 01:00,12-06-2019 01:15,110,300
12-06-2019 01:15,12-06-2019 01:30,106,291
12-06-2019 01:30,12-06-2019 01:45,117,329
12-06-2019 01:45,12-06-2019 02:00,118,338
12-06-2019 02:00,12-06-2019 02:15,111,330
12-06-2019 02:15,12-06-2019 02:30,101,303
12-06-2019 02:30,12-06-2019 02:45,80,230
12-06-2019 02:45,12-06-2019 03:00,71,189
12-06-2019 03:00,12-06-2019 03:15,69,166
12-06-2019 03:15,12-06-2019 03:30,65,140
12-06-2019 03:30,12-06-2019 03:45,57,117
12-06-2019 03:45,12-06-2019 04:00,49,102
12-06-2019 04:00,12-06-2019 04:15,43,91
12-06-2019 04:15,12-06-2019 04:30,39,87
12-06-2019 04:30,12-06-2019 04:45,36,84
12-06-2019 04:45,12-06-2019 05:00,35,82
12-06-2019 05:00,12-06-2019 05:15,32,79
12-06-2019 05:15,12-06-2019 05:30,30,76
12-06-2019 05:30,12-06-2019 05:45,32,82
12-06-2019 05:45,12-06-2019 06:00,34,93
12-06-2019 06:00,12-06-2019 06:15,42,117
12-06-2019 06:15,12-06-2019 06:30,53,148
12-06-2019 06:30,12-06-2019 06:45,64,173
12-06-2019 06:45,12-06-2019 07:00,73,189
12-06-2019 07:00,12-06-2019 07:15,75,188
12-06-2019 07:15,12-06-2019 07:30,73,187
12-06-2019 07:30,12-06-2019 07:45,67,191
12-06-2019 07:45,12-06-2019 08:00,59,191
12-06-2019 08:00,12-06-2019 08:15,51,187
12-06-2019 08:15,12-06-2019 08:30,48,180
12-06-2019 08:30,12-06-2019 08:45,48,171
12-06-2019 08:45,12-06-2019 09:00,50,171
12-06-2019 09:00,12-06-2019 09:15,52,176
12-06-2019 09:15,12-06-2019 09:30,51,176
12-06-2019 09:30,12-06-2019 09:45,49,176
12-06-2019 09:45,12-06-2019 10:00,46,183
12-06-2019 10:00,12-06-2019 10:15,45,186
12-06-2019 10:15,12-06-2019 10:30,44,186
12-06-2019 10:30,12-06-2019 10:45,42,181
12-06-2019 10:45,12-06-2019 11:00,41,163
12-06-2019 11:00,12-06-2019 11:15,39,151
12-06-2019 11:15,12-06-2019 11:30,39,150
12-06-2019 11:30,12-06-2019 11:45,40,147
12-06-2019 11:45,12-06-2019 12:00,43,154
12-06-2019 12:00,12-06-2019 12:15,47,165
12-06-2019 12:15,12-06-2019 12:30,49,162
12-06-2019 12:30,12-06-2019 12:45,52,162
12-06-2019 12:45,12-06-2019 13:00,54,157
12-06-2019 13:00,12-06-2019 13:15,55,147
12-06-2019 13:15,12-06-2019 13:30,57,146
12-06-2019 13:30,12-06-2019 13:45,59,146
12-06-2019 13:45,12-06-2019 14:00,60,143
12-06-2019 14:00,12-06-2019 14:15,60,139
12-06-2019 14:15,12-06-2019 14:30,58,132
12-06-2019 14:30,12-06-2019 14:45,56,127
12-06-2019 14:45,12-06-2019 15:00,57,128
12-06-2019 15:00,12-06-2019 15:15,59,133
12-06-2019 15:15,12-06-2019 15:30,59,134
12-06-2019 15:30,12-06-2019 15:45,61,139
12-06-2019 15:45,12-06-2019 16:00,62,140
12-06-2019 16:00,12-06-2019 16:15,61,135
12-06-2019 16:15,12-06-2019 16:30,61,135
12-06-2019 16:30,12-06-2019 16:45,60,131
12-06-2019 16:45,12-06-2019 17:00,60,129
12-06-2019 17:00,12-06-2019 17:15,60,129
12-06-2019 17:15,12-06-2019 17:30,61,134
12-06-2019 17:30,12-06-2019 17:45,62,133
12-06-2019 17:45,12-06-2019 18:00,61,132
12-06-2019 18:00,12-06-2019 18:15,61,134
12-06-2019 18:15,12-06-2019 18:30,60,133
12-06-2019 18:30,12-06-2019 18:45,61,136
12-06-2019 18:45,12-06-2019 19:00,62,139
12-06-2019 19:00,12-06-2019 19:15,71,204
12-06-2019 19:15,12-06-2019 19:30,90,453
12-06-2019 19:30,12-06-2019 19:45,95,537
12-06-2019 19:45,12-06-2019 20:00,92,546
12-06-2019 20:00,12-06-2019 20:15,79,476
12-06-2019 20:15,12-06-2019 20:30,56,217
12-06-2019 20:30,12-06-2019 20:45,47,123
12-06-2019 20:45,12-06-2019 21:00,42,101
12-06-2019 21:00,12-06-2019 21:15,41,98
12-06-2019 21:15,12-06-2019 21:30,40,102
12-06-2019 21:30,12-06-2019 21:45,41,106
12-06-2019 21:45,12-06-2019 22:00,47,121
12-06-2019 22:00,12-06-2019 22:15,57,225
12-06-2019 22:15,12-06-2019 22:30,67,336
12-06-2019 22:30,12-06-2019 22:45,72,404
12-06-2019 22:45,12-06-2019 23:00,75,451
12-06-2019 23:00,12-06-2019 23:15,72,401
12-06-2019 23:15,12-06-2019 23:30,67,331
12-06-2019 23:30,12-06-2019 23:45,66,300
12-06-2019 23:45,13-06-2019 00:00,NAN,NAN
13-06-2019 00:00,13-06-2019 00:15,59,243
13-06-2019 00:15,13-06-2019 00:30,56,216
13-06-2019 00:30,13-06-2019 00:45,53,191
13-06-2019 00:45,13-06-2019 01:00,52,172
13-06-2019 01:00,13-06-2019 01:15,55,160
13-06-2019 01:15,13-06-2019 01:30,56,153
13-06-2019 01:30,13-06-2019 01:45,56,147
13-06-2019 01:45,13-06-2019 02:00,55,143
13-06-2019 02:00,13-06-2019 02:15,52,137
13-06-2019 02:15,13-06-2019 02:30,51,135
13-06-2019 02:30,13-06-2019 02:45,52,136
13-06-2019 02:45,13-06-2019 03:00,52,135
13-06-2019 03:00,13-06-2019 03:15,53,132
13-06-2019 03:15,13-06-2019 03:30,54,131
13-06-2019 03:30,13-06-2019 03:45,52,127
13-06-2019 03:45,13-06-2019 04:00,51,122
13-06-2019 04:00,13-06-2019 04:15,49,118
13-06-2019 04:15,13-06-2019 04:30,46,110
13-06-2019 04:30,13-06-2019 04:45,46,109
13-06-2019 04:45,13-06-2019 05:00,46,110
13-06-2019 05:00,13-06-2019 05:15,48,117
13-06-2019 05:15,13-06-2019 05:30,54,130
13-06-2019 05:30,13-06-2019 05:45,58,139
13-06-2019 05:45,13-06-2019 06:00,62,147
