CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Saturday, Jun 22 2019",,
Time: 09:40:43 AM,,
State,Delhi,
City,Delhi,
Station,"ITO, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,11-06-2019T00:00:00Z 00:00,
To,16-06-2019T00:00:59Z 00:00,
,,
"ITO, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
11-06-2019 00:00,11-06-2019 00:15,122
11-06-2019 00:15,11-06-2019 00:30,120
11-06-2019 00:30,11-06-2019 00:45,118
11-06-2019 00:45,11-06-2019 01:00,113
11-06-2019 01:00,11-06-2019 01:15,110
11-06-2019 01:15,11-06-2019 01:30,107
11-06-2019 01:30,11-06-2019 01:45,102
11-06-2019 01:45,11-06-2019 02:00,95
11-06-2019 02:00,11-06-2019 02:15,89
11-06-2019 02:15,11-06-2019 02:30,86
11-06-2019 02:30,11-06-2019 02:45,87
11-06-2019 02:45,11-06-2019 03:00,93
11-06-2019 03:00,11-06-2019 03:15,99
11-06-2019 03:15,11-06-2019 03:30,106
11-06-2019 03:30,11-06-2019 03:45,113
11-06-2019 03:45,11-06-2019 04:00,117
11-06-2019 04:00,11-06-2019 04:15,122
11-06-2019 04:15,11-06-2019 04:30,125
11-06-2019 04:30,11-06-2019 04:45,128
11-06-2019 04:45,11-06-2019 05:00,134
11-06-2019 05:00,11-06-2019 05:15,140
11-06-2019 05:15,11-06-2019 05:30,149
11-06-2019 05:30,11-06-2019 05:45,159
11-06-2019 05:45,11-06-2019 06:00,167
11-06-2019 06:00,11-06-2019 06:15,173
11-06-2019 06:15,11-06-2019 06:30,176
11-06-2019 06:30,11-06-2019 06:45,178
11-06-2019 06:45,11-06-2019 07:00,180
11-06-2019 07:00,11-06-2019 07:15,181
11-06-2019 07:15,11-06-2019 07:30,182
11-06-2019 07:30,11-06-2019 07:45,186
11-06-2019 07:45,11-06-2019 08:00,192
11-06-2019 08:00,11-06-2019 08:15,201
11-06-2019 08:15,11-06-2019 08:30,211
11-06-2019 08:30,11-06-2019 08:45,219
11-06-2019 08:45,11-06-2019 09:00,223
11-06-2019 09:00,11-06-2019 09:15,230
11-06-2019 09:15,11-06-2019 09:30,237
11-06-2019 09:30,11-06-2019 09:45,245
11-06-2019 09:45,11-06-2019 10:00,254
11-06-2019 10:00,11-06-2019 10:15,256
11-06-2019 10:15,11-06-2019 10:30,250
11-06-2019 10:30,11-06-2019 10:45,235
11-06-2019 10:45,11-06-2019 11:00,206
11-06-2019 11:00,11-06-2019 11:15,179
11-06-2019 11:15,11-06-2019 11:30,155
11-06-2019 11:30,11-06-2019 11:45,138
11-06-2019 11:45,11-06-2019 12:00,130
11-06-2019 12:00,11-06-2019 12:15,118
11-06-2019 12:15,11-06-2019 12:30,108
11-06-2019 12:30,11-06-2019 12:45,97
11-06-2019 12:45,11-06-2019 13:00,85
11-06-2019 13:00,11-06-2019 13:15,72
11-06-2019 13:15,11-06-2019 13:30,63
11-06-2019 13:30,11-06-2019 13:45,56
11-06-2019 13:45,11-06-2019 14:00,53
11-06-2019 14:00,11-06-2019 14:15,55
11-06-2019 14:15,11-06-2019 14:30,55
11-06-2019 14:30,11-06-2019 14:45,54
11-06-2019 14:45,11-06-2019 15:00,54
11-06-2019 15:00,11-06-2019 15:15,58
11-06-2019 15:15,11-06-2019 15:30,62
11-06-2019 15:30,11-06-2019 15:45,68
11-06-2019 15:45,11-06-2019 16:00,72
11-06-2019 16:00,11-06-2019 16:15,70
11-06-2019 16:15,11-06-2019 16:30,69
11-06-2019 16:30,11-06-2019 16:45,68
11-06-2019 16:45,11-06-2019 17:00,67
11-06-2019 17:00,11-06-2019 17:15,66
11-06-2019 17:15,11-06-2019 17:30,67
11-06-2019 17:30,11-06-2019 17:45,65
11-06-2019 17:45,11-06-2019 18:00,67
11-06-2019 18:00,11-06-2019 18:15,69
11-06-2019 18:15,11-06-2019 18:30,70
11-06-2019 18:30,11-06-2019 18:45,72
11-06-2019 18:45,11-06-2019 19:00,70
11-06-2019 19:00,11-06-2019 19:15,69
11-06-2019 19:15,11-06-2019 19:30,68
11-06-2019 19:30,11-06-2019 19:45,70
11-06-2019 19:45,11-06-2019 20:00,74
11-06-2019 20:00,11-06-2019 20:15,76
11-06-2019 20:15,11-06-2019 20:30,80
11-06-2019 20:30,11-06-2019 20:45,82
11-06-2019 20:45,11-06-2019 21:00,84
11-06-2019 21:00,11-06-2019 21:15,91
11-06-2019 21:15,11-06-2019 21:30,95
11-06-2019 21:30,11-06-2019 21:45,97
11-06-2019 21:45,11-06-2019 22:00,99
11-06-2019 22:00,11-06-2019 22:15,99
11-06-2019 22:15,11-06-2019 22:30,100
11-06-2019 22:30,11-06-2019 22:45,104
11-06-2019 22:45,11-06-2019 23:00,108
11-06-2019 23:00,11-06-2019 23:15,111
11-06-2019 23:15,11-06-2019 23:30,114
11-06-2019 23:30,11-06-2019 23:45,112
11-06-2019 23:45,12-06-2019 00:00,NAN
12-06-2019 00:00,12-06-2019 00:15,115
12-06-2019 00:15,12-06-2019 00:30,118
12-06-2019 00:30,12-06-2019 00:45,119
12-06-2019 00:45,12-06-2019 01:00,116
12-06-2019 01:00,12-06-2019 01:15,110
12-06-2019 01:15,12-06-2019 01:30,106
12-06-2019 01:30,12-06-2019 01:45,117
12-06-2019 01:45,12-06-2019 02:00,118
12-06-2019 02:00,12-06-2019 02:15,111
12-06-2019 02:15,12-06-2019 02:30,101
12-06-2019 02:30,12-06-2019 02:45,80
12-06-2019 02:45,12-06-2019 03:00,71
12-06-2019 03:00,12-06-2019 03:15,69
12-06-2019 03:15,12-06-2019 03:30,65
12-06-2019 03:30,12-06-2019 03:45,57
12-06-2019 03:45,12-06-2019 04:00,49
12-06-2019 04:00,12-06-2019 04:15,43
12-06-2019 04:15,12-06-2019 04:30,39
12-06-2019 04:30,12-06-2019 04:45,36
12-06-2019 04:45,12-06-2019 05:00,35
12-06-2019 05:00,12-06-2019 05:15,32
12-06-2019 05:15,12-06-2019 05:30,30
12-06-2019 05:30,12-06-2019 05:45,32
12-06-2019 05:45,12-06-2019 06:00,34
12-06-2019 06:00,12-06-2019 06:15,42
12-06-2019 06:15,12-06-2019 06:30,53
12-06-2019 06:30,12-06-2019 06:45,64
12-06-2019 06:45,12-06-2019 07:00,73
12-06-2019 07:00,12-06-2019 07:15,75
12-06-2019 07:15,12-06-2019 07:30,73
12-06-2019 07:30,12-06-2019 07:45,67
12-06-2019 07:45,12-06-2019 08:00,59
12-06-2019 08:00,12-06-2019 08:15,51
12-06-2019 08:15,12-06-2019 08:30,48
12-06-2019 08:30,12-06-2019 08:45,48
12-06-2019 08:45,12-06-2019 09:00,50
12-06-2019 09:00,12-06-2019 09:15,52
12-06-2019 09:15,12-06-2019 09:30,51
12-06-2019 09:30,12-06-2019 09:45,49
12-06-2019 09:45,12-06-2019 10:00,46
12-06-2019 10:00,12-06-2019 10:15,45
12-06-2019 10:15,12-06-2019 10:30,44
12-06-2019 10:30,12-06-2019 10:45,42
12-06-2019 10:45,12-06-2019 11:00,41
12-06-2019 11:00,12-06-2019 11:15,39
12-06-2019 11:15,12-06-2019 11:30,39
12-06-2019 11:30,12-06-2019 11:45,40
12-06-2019 11:45,12-06-2019 12:00,43
12-06-2019 12:00,12-06-2019 12:15,47
12-06-2019 12:15,12-06-2019 12:30,49
12-06-2019 12:30,12-06-2019 12:45,52
12-06-2019 12:45,12-06-2019 13:00,54
12-06-2019 13:00,12-06-2019 13:15,55
12-06-2019 13:15,12-06-2019 13:30,57
12-06-2019 13:30,12-06-2019 13:45,59
12-06-2019 13:45,12-06-2019 14:00,60
12-06-2019 14:00,12-06-2019 14:15,60
12-06-2019 14:15,12-06-2019 14:30,58
12-06-2019 14:30,12-06-2019 14:45,56
12-06-2019 14:45,12-06-2019 15:00,57
12-06-2019 15:00,12-06-2019 15:15,59
12-06-2019 15:15,12-06-2019 15:30,59
12-06-2019 15:30,12-06-2019 15:45,61
12-06-2019 15:45,12-06-2019 16:00,62
12-06-2019 16:00,12-06-2019 16:15,61
12-06-2019 16:15,12-06-2019 16:30,61
12-06-2019 16:30,12-06-2019 16:45,60
12-06-2019 16:45,12-06-2019 17:00,60
12-06-2019 17:00,12-06-2019 17:15,60
12-06-2019 17:15,12-06-2019 17:30,61
12-06-2019 17:30,12-06-2019 17:45,62
12-06-2019 17:45,12-06-2019 18:00,61
12-06-2019 18:00,12-06-2019 18:15,61
12-06-2019 18:15,12-06-2019 18:30,60
12-06-2019 18:30,12-06-2019 18:45,61
12-06-2019 18:45,12-06-2019 19:00,62
12-06-2019 19:00,12-06-2019 19:15,71
12-06-2019 19:15,12-06-2019 19:30,90
12-06-2019 19:30,12-06-2019 19:45,95
12-06-2019 19:45,12-06-2019 20:00,92
12-06-2019 20:00,12-06-2019 20:15,79
12-06-2019 20:15,12-06-2019 20:30,56
12-06-2019 20:30,12-06-2019 20:45,47
12-06-2019 20:45,12-06-2019 21:00,42
12-06-2019 21:00,12-06-2019 21:15,41
12-06-2019 21:15,12-06-2019 21:30,40
12-06-2019 21:30,12-06-2019 21:45,41
12-06-2019 21:45,12-06-2019 22:00,47
12-06-2019 22:00,12-06-2019 22:15,57
12-06-2019 22:15,12-06-2019 22:30,67
12-06-2019 22:30,12-06-2019 22:45,72
12-06-2019 22:45,12-06-2019 23:00,75
12-06-2019 23:00,12-06-2019 23:15,72
12-06-2019 23:15,12-06-2019 23:30,67
12-06-2019 23:30,12-06-2019 23:45,66
12-06-2019 23:45,13-06-2019 00:00,NAN
13-06-2019 00:00,13-06-2019 00:15,59
13-06-2019 00:15,13-06-2019 00:30,56
13-06-2019 00:30,13-06-2019 00:45,53
13-06-2019 00:45,13-06-2019 01:00,52
13-06-2019 01:00,13-06-2019 01:15,55
13-06-2019 01:15,13-06-2019 01:30,56
13-06-2019 01:30,13-06-2019 01:45,56
13-06-2019 01:45,13-06-2019 02:00,55
13-06-2019 02:00,13-06-2019 02:15,52
13-06-2019 02:15,13-06-2019 02:30,51
13-06-2019 02:30,13-06-2019 02:45,52
13-06-2019 02:45,13-06-2019 03:00,52
13-06-2019 03:00,13-06-2019 03:15,53
13-06-2019 03:15,13-06-2019 03:30,54
13-06-2019 03:30,13-06-2019 03:45,52
13-06-2019 03:45,13-06-2019 04:00,51
13-06-2019 04:00,13-06-2019 04:15,49
13-06-2019 04:15,13-06-2019 04:30,46
13-06-2019 04:30,13-06-2019 04:45,46
13-06-2019 04:45,13-06-2019 05:00,46
13-06-2019 05:00,13-06-2019 05:15,48
13-06-2019 05:15,13-06-2019 05:30,54
13-06-2019 05:30,13-06-2019 05:45,58
13-06-2019 05:45,13-06-2019 06:00,62
13-06-2019 06:00,13-06-2019 06:15,74
13-06-2019 06:15,13-06-2019 06:30,76
13-06-2019 06:30,13-06-2019 06:45,75
13-06-2019 06:45,13-06-2019 07:00,75
13-06-2019 07:00,13-06-2019 07:15,66
13-06-2019 07:15,13-06-2019 07:30,64
13-06-2019 07:30,13-06-2019 07:45,65
13-06-2019 07:45,13-06-2019 08:00,67
13-06-2019 08:00,13-06-2019 08:15,68
13-06-2019 08:15,13-06-2019 08:30,67
13-06-2019 08:30,13-06-2019 08:45,67
13-06-2019 08:45,13-06-2019 09:00,65
13-06-2019 09:00,13-06-2019 09:15,63
13-06-2019 09:15,13-06-2019 09:30,61
13-06-2019 09:30,13-06-2019 09:45,56
13-06-2019 09:45,13-06-2019 10:00,51
13-06-2019 10:00,13-06-2019 10:15,46
13-06-2019 10:15,13-06-2019 10:30,42
13-06-2019 10:30,13-06-2019 10:45,42
