0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
286.54,293.14,260.99,264.46,235.21,207.96,195.06,171.82,163.19,198.96,204.57,220.75,228.53,224.91,227.98,155.65,151.43,179.52,194.7,225.03,217.3,274.05,337.23,436.85
564.92,538.06,492.03,430.6,364.95,333.51,287.82,251.42,253.44,256.76,223.28,190.25,173.97,145.21,111.93,98.02,83.82,92.91,113.33,115.35,141.79,239.05,298.19,304.65
243.88,215.88,214.21,210.13,229.83,228.22,172.19,128.97,118.92,83.73,72.34,107.02,89.09,70.39,80.95,84.38,100.15,119.69,99.49,89.43,95.41,110,106.59,109.39
114.1,131.54,124.69,125.67,129.94,117.02,107.54,98.82,102.78,121.75,164.57,169.23,171.77,187.58,130.57,116.72,102.85,102.44,124.07,191.27,264.94,351.45,322.23,276.42
198.05,178.58,156.82,153.73,146.82,144.73,161.08,180.72,191.3,218.73,235.35,231.99,151.5,104.88,72.16,85.25,85.65,78.88,94.82,182.59,226.11,232.06,226.09,218.35
212.23,194.52,178.32,179.86,185.94,182.3,185.07,203.12,213.73,210.7,211.6,150.62,64.85,19.48,45.39,61.01,68.26,71.22,79.25,121.07,153.14,205.46,224.24,234.15
219.9,220.06,198.95,185.38,176.67,164.03,166.6,190.47,196.03,181.68,199.8,168.62,151.59,125.48,83.13,67.48,61.97,59.97,62.5,111.98,174.63,309.95,399.85,423.48
459.95,489.85,497.26,483.65,450.89,419.26,387.87,368.27,349.96,350.12,348.39,306.78,252.85,173.46,122.86,105.47,116.44,119.14,111.6,134.66,198.45,282.93,389.54,430.14
471.9,536.66,541.24,543.66,519.82,465.46,405.32,407.99,421.46,393.1,331.5,288.43,245.16,185.04,159.16,127.7,123.98,124.21,141.95,156.62,157.55,157.99,198.38,228.76
258.56,262.45,280.75,306.38,309.46,279.42,241.98,226.49,215.34,229.75,191.94,174.68,164.52,161.07,160.4,151.75,163.17,168.36,200.56,230.16,232.02,219.05,207.03,197.24
