CENTRAL POLLUTION CONTROL BOARD,,,
CONTINUOUS AMBIENT AIR QUALITY,,,
"Date: Friday, Jul 05 2019",,,
Time: 12:44:13 PM,,,
State,Delhi,,
City,Delhi,,
Station,"Punjabi Bagh, Delhi - DPCC",,
Parameter,"RH,PM2.5",,
AvgPeriod,15 Minute,,
From,03-07-2019T00:00:00Z 00:00,,
To,05-07-2019T04:39:59Z 00:00,,
,,,
"Punjabi Bagh, Delhi - DPCC",,,
Prescribed Standards, ,NA,0-60
Exceeding Standards, ,NA,NA
Remarks,,,
From Date,To Date,RH,PM2.5
03-07-2019 00:00,03-07-2019 00:15,54.7,47
03-07-2019 00:15,03-07-2019 00:30,54.4,47
03-07-2019 00:30,03-07-2019 00:45,53.6,47
03-07-2019 00:45,03-07-2019 01:00,53.6,50
03-07-2019 01:00,03-07-2019 01:15,54.6,50
03-07-2019 01:15,03-07-2019 01:30,55.5,50
03-07-2019 01:30,03-07-2019 01:45,56.2,50
03-07-2019 01:45,03-07-2019 02:00,56.8,45
03-07-2019 02:00,03-07-2019 02:15,57.1,45
03-07-2019 02:15,03-07-2019 02:30,57.3,45
03-07-2019 02:30,03-07-2019 02:45,57.2,45
03-07-2019 02:45,03-07-2019 03:00,56.9,44
03-07-2019 03:00,03-07-2019 03:15,56.2,44
03-07-2019 03:15,03-07-2019 03:30,56.2,44
03-07-2019 03:30,03-07-2019 03:45,56.3,44
03-07-2019 03:45,03-07-2019 04:00,56.9,40
03-07-2019 04:00,03-07-2019 04:15,57.3,40
03-07-2019 04:15,03-07-2019 04:30,57.2,40
03-07-2019 04:30,03-07-2019 04:45,56.8,40
03-07-2019 04:45,03-07-2019 05:00,57.1,39
03-07-2019 05:00,03-07-2019 05:15,57.8,39
03-07-2019 05:15,03-07-2019 05:30,58.5,39
03-07-2019 05:30,03-07-2019 05:45,59,39
03-07-2019 05:45,03-07-2019 06:00,59.1,39
03-07-2019 06:00,03-07-2019 06:15,58.8,39
03-07-2019 06:15,03-07-2019 06:30,58.5,39
03-07-2019 06:30,03-07-2019 06:45,58.3,39
03-07-2019 06:45,03-07-2019 07:00,57.7,46
03-07-2019 07:00,03-07-2019 07:15,57.3,46
03-07-2019 07:15,03-07-2019 07:30,56.8,46
03-07-2019 07:30,03-07-2019 07:45,56,46
03-07-2019 07:45,03-07-2019 08:00,54.2,44
03-07-2019 08:00,03-07-2019 08:15,52.7,44
03-07-2019 08:15,03-07-2019 08:30,53,44
03-07-2019 08:30,03-07-2019 08:45,51.6,44
03-07-2019 08:45,03-07-2019 09:00,50.7,29
03-07-2019 09:00,03-07-2019 09:15,48.7,29
03-07-2019 09:15,03-07-2019 09:30,48.4,29
03-07-2019 09:30,03-07-2019 09:45,49.3,29
03-07-2019 09:45,03-07-2019 10:00,49.4,23
03-07-2019 10:00,03-07-2019 10:15,49.1,23
03-07-2019 10:15,03-07-2019 10:30,49.2,23
03-07-2019 10:30,03-07-2019 10:45,48.1,23
03-07-2019 10:45,03-07-2019 11:00,48.2,22
03-07-2019 11:00,03-07-2019 11:15,49.9,22
03-07-2019 11:15,03-07-2019 11:30,50.6,22
03-07-2019 11:30,03-07-2019 11:45,50.9,22
03-07-2019 11:45,03-07-2019 12:00,49.9,34
03-07-2019 12:00,03-07-2019 12:15,48.3,34
03-07-2019 12:15,03-07-2019 12:30,46.8,34
03-07-2019 12:30,03-07-2019 12:45,46,34
03-07-2019 12:45,03-07-2019 13:00,46,35
03-07-2019 13:00,03-07-2019 13:15,45.1,35
03-07-2019 13:15,03-07-2019 13:30,44.8,35
03-07-2019 13:30,03-07-2019 13:45,45.2,35
03-07-2019 13:45,03-07-2019 14:00,44.3,24
03-07-2019 14:00,03-07-2019 14:15,42.8,24
03-07-2019 14:15,03-07-2019 14:30,42.7,24
03-07-2019 14:30,03-07-2019 14:45,42.5,24
03-07-2019 14:45,03-07-2019 15:00,42.2,24
03-07-2019 15:00,03-07-2019 15:15,42.5,24
03-07-2019 15:15,03-07-2019 15:30,41.6,24
03-07-2019 15:30,03-07-2019 15:45,41.3,24
03-07-2019 15:45,03-07-2019 16:00,41.7,12
03-07-2019 16:00,03-07-2019 16:15,42,12
03-07-2019 16:15,03-07-2019 16:30,43,12
03-07-2019 16:30,03-07-2019 16:45,43.3,12
03-07-2019 16:45,03-07-2019 17:00,43.2,19
03-07-2019 17:00,03-07-2019 17:15,43.5,19
03-07-2019 17:15,03-07-2019 17:30,43.8,19
03-07-2019 17:30,03-07-2019 17:45,44,19
03-07-2019 17:45,03-07-2019 18:00,44.8,22
03-07-2019 18:00,03-07-2019 18:15,45.2,22
03-07-2019 18:15,03-07-2019 18:30,45.2,22
03-07-2019 18:30,03-07-2019 18:45,45,22
03-07-2019 18:45,03-07-2019 19:00,45,17
03-07-2019 19:00,03-07-2019 19:15,45,17
03-07-2019 19:15,03-07-2019 19:30,45.3,17
03-07-2019 19:30,03-07-2019 19:45,45.1,17
03-07-2019 19:45,03-07-2019 20:00,45,14
03-07-2019 20:00,03-07-2019 20:15,45.1,14
