,,,,HUMI,PRES,TEMP,cbwd,Iws,precipitation
2014,1,1,0,64.42,1020,2,225,26,0
2014,1,1,1,51.84,1020,4,225,29,0
2014,1,1,2,55.63,1020,3,225,31,0
2014,1,1,3,55.63,1020,3,225,33,0
2014,1,1,4,60,1020,3,225,34,0
2014,1,1,5,60,1020,3,225,35,0
2014,1,1,6,59.74,1020,2,225,38,0
2014,1,1,7,69.43,1021,2,225,39,0
2014,1,1,8,55.91,1021,4,225,41,0
2014,1,1,9,45.4,1022,7,225,44,0
2014,1,1,10,34.36,1022,10,225,48,0
2014,1,1,11,28.18,1021,13,315,4,0
2014,1,1,12,22.66,1020,14,225,5,0
2014,1,1,13,17.05,1019,16,315,5,0
2014,1,1,14,18.44,1018,16,225,5,0
2014,1,1,15,14.55,1018,16,315,5,0
2014,1,1,16,18.18,1018,15,315,9,0
2014,1,1,17,22.38,1019,13,225,2,0
2014,1,1,18,23.89,1019,12,225,3,0
2014,1,1,19,29.48,1019,10,None,0,0
2014,1,1,20,31.84,1020,10,225,2,0
2014,1,1,21,36.74,1020,9,135,1,0
2014,1,1,22,39.32,1020,8,None,1,0
2014,1,1,23,42.1,1020,7,None,1,0
2014,1,2,0,52.13,1020,5,225,2,0
2014,1,2,1,56.18,1020,5,None,0,0
2014,1,2,2,60,1020,3,None,0,0
2014,1,2,3,64.66,1020,3,None,0,0
2014,1,2,4,74.78,1020,2,None,0,0
2014,1,2,5,69.43,1020,2,None,0,0
2014,1,2,6,69.43,1020,2,None,0,0
2014,1,2,7,69.43,1020,2,None,0,0
2014,1,2,8,65.36,1020,6,45,1,0
2014,1,2,9,46.58,1020,11,135,3,0
2014,1,2,10,32.75,1020,13,135,7,0
2014,1,2,11,28.77,1019,15,135,11,0
2014,1,2,12,23.22,1018,16,135,15,0
2014,1,2,13,16,1017,17,135,19,0
2014,1,2,14,17.55,1016,18,135,24,0
2014,1,2,15,21.79,1016,17,135,30,0
2014,1,2,16,31.28,1016,16,135,35,0
2014,1,2,17,38.56,1016,15,135,40,0
2014,1,2,18,50.65,1017,13,135,45,0
2014,1,2,19,58.03,1017,12,135,49,0
2014,1,2,20,62.24,1017,12,135,53,0
2014,1,2,21,66.49,1017,11,135,57,0
2014,1,2,22,71.07,1017,10,135,60,0
2014,1,2,23,71.27,1017,11,135,64,0
2014,1,3,0,71.27,1016,11,135,68,0
2014,1,3,1,71.27,1016,11,None,1,0
2014,1,3,2,76.18,1016,10,135,1,0
2014,1,3,3,81.48,1015,9,None,0,0
2014,1,3,4,81.48,1015,9,None,0,0
2014,1,3,5,81.48,1015,9,None,0,0
2014,1,3,6,81.48,1015,9,315,1,0
2014,1,3,7,81.48,1015,9,315,2,0
2014,1,3,8,76.18,1016,10,315,3,0
2014,1,3,9,71.27,1017,11,315,7,0
2014,1,3,10,62.24,1017,12,315,12,0
2014,1,3,11,54.35,1017,13,315,17,0
2014,1,3,12,41.43,1016,15,315,23,0
2014,1,3,13,26.98,1015,16,315,28,0
2014,1,3,14,21.79,1015,17,315,34,0
2014,1,3,15,18.44,1015,16,315,39,0
2014,1,3,16,19.66,1016,15,315,44,0
2014,1,3,17,22.66,1017,14,315,48,0
2014,1,3,18,27.88,1017,12,315,51,0
2014,1,3,19,30.09,1018,12,315,54,0
2014,1,3,20,32.45,1019,12,315,57,0
2014,1,3,21,37.36,1019,11,315,59,0
2014,1,3,22,49.51,1019,9,None,1,0
2014,1,3,23,53.26,1019,9,315,4,0
2014,1,4,0,61.26,1020,8,315,7,0
2014,1,4,1,61.26,1020,8,45,2,0
2014,1,4,2,61.01,1020,7,45,4,0
2014,1,4,3,56.72,1020,7,315,5,0
2014,1,4,4,60.76,1020,6,315,8,0
2014,1,4,5,80.92,1021,5,315,12,0
2014,1,4,6,86.99,1021,6,315,16,0
2014,1,4,7,93.29,1021,6,315,19,0
2014,1,4,8,93.29,1022,6,45,2,0
2014,1,4,9,87.09,1023,7,315,4,0
2014,1,4,10,81.34,1023,8,315,8,0
2014,1,4,11,70.88,1023,9,45,4,0
2014,1,4,12,66.05,1022,9,315,4,0
2014,1,4,13,61.76,1021,10,45,5,0
2014,1,4,14,53.53,1021,10,45,9,0
2014,1,4,15,49.8,1022,10,45,14,0
2014,1,4,16,57.25,1022,9,45,19,0
2014,1,4,17,61.01,1022,7,45,23,0
2014,1,4,18,65.59,1023,7,45,27,0
2014,1,4,19,65.59,1023,7,45,32,0
2014,1,4,20,65.36,1023,6,45,36,0
2014,1,4,21,70.06,1023,5,45,39,0
2014,1,4,22,65.13,1024,5,45,40,0
2014,1,4,23,65.13,1024,5,45,42,0
2014,1,5,0,70.06,1024,5,45,45,0
2014,1,5,1,74.78,1024,2,45,47,0
2014,1,5,2,74.96,1024,3,45,48,0
2014,1,5,3,80.49,1024,2,None,0,0
2014,1,5,4,80.34,1024,1,225,2,0
2014,1,5,5,80.34,1024,1,225,4,0
2014,1,5,6,86.47,1024,1,None,0,0
2014,1,5,7,86.47,1024,1,225,2,0
2014,1,5,8,86.68,1025,3,None,1,0
2014,1,5,9,75.32,1025,5,None,2,0
2014,1,5,10,61.26,1025,8,225,2,0
2014,1,5,11,57.25,1024,9,225,3,0
2014,1,5,12,57.25,1024,9,315,1,0
2014,1,5,13,53.53,1023,10,None,1,0
2014,1,5,14,46.58,1022,11,45,1,0
2014,1,5,15,46.58,1022,11,45,2,0
2014,1,5,16,46.58,1023,11,135,3,0
2014,1,5,17,53.26,1023,9,135,7,0
2014,1,5,18,56.99,1024,8,135,11,0
2014,1,5,19,42.1,1024,7,135,15,0
2014,1,5,20,48.63,1025,6,135,18,0
2014,1,5,21,60.76,1025,6,135,22,0
2014,1,5,22,70.06,1025,5,135,25,0
2014,1,5,23,65.13,1025,5,135,27,0
2014,1,6,0,75.14,1025,4,135,28,0
2014,1,6,1,75.14,1025,4,None,0,0
2014,1,6,2,75.32,1025,5,45,2,0
2014,1,6,3,75.14,1025,4,45,3,0
2014,1,6,4,80.63,1025,3,45,5,0
2014,1,6,5,75.32,1025,5,45,7,0
2014,1,6,6,75.32,1025,5,45,10,0
2014,1,6,7,70.27,1025,6,45,12,0
2014,1,6,8,70.47,1026,7,135,4,0
2014,1,6,9,61.51,1026,9,135,8,0
2014,1,6,10,53.81,1026,11,135,13,0
2014,1,6,11,50.36,1025,12,135,19,0
2014,1,6,12,40.84,1024,13,135,25,0
2014,1,6,13,40.84,1024,13,135,31,0
2014,1,6,14,40.84,1023,13,135,38,0
2014,1,6,15,43.9,1022,13,135,44,0
2014,1,6,16,46.88,1022,12,135,49,0
2014,1,6,17,53.81,1023,11,135,54,0
2014,1,6,18,57.77,1023,11,135,59,0
2014,1,6,19,61.76,1023,10,135,63,0
2014,1,6,20,61.76,1023,10,135,67,0
2014,1,6,21,66.27,1023,10,135,72,0
2014,1,6,22,70.88,1022,9,135,76,0
2014,1,6,23,70.88,1022,9,135,81,0
2014,1,7,0,70.88,1022,9,135,85,0
2014,1,7,1,70.88,1021,9,135,90,0
2014,1,7,2,61.76,1021,10,135,95,0
2014,1,7,3,61.76,1020,10,135,101,0
2014,1,7,4,66.27,1020,10,135,106,0
2014,1,7,5,66.27,1020,10,135,110,0
2014,1,7,6,71.07,1020,10,135,114,0.5
2014,1,7,7,81.48,1021,9,135,117,0.6
2014,1,7,8,87.28,1021,9,135,121,0.7
2014,1,7,9,87.38,1021,10,45,4,0.1
2014,1,7,10,81.75,1020,11,135,5,0
2014,1,7,11,81.75,1019,11,135,9,0
2014,1,7,12,87.47,1018,11,135,12,0
2014,1,7,13,81.88,1017,12,135,16,0
2014,1,7,14,81.88,1017,12,135,20,0.1
2014,1,7,15,81.88,1017,12,135,23,0.4
2014,1,7,16,87.47,1017,11,135,25,0.1
2014,1,7,17,87.47,1017,11,135,26,1
2014,1,7,18,87.47,1017,11,225,1,1.3
2014,1,7,19,87.47,1018,11,None,1,1.1
2014,1,7,20,93.5,1018,10,315,1,0.5
2014,1,7,21,87.47,1018,11,315,3,0.2
2014,1,7,22,93.5,1018,10,315,6,1.3
2014,1,7,23,93.5,1018,10,315,10,0.6
2014,1,8,0,87.38,1017,10,315,14,0.4
2014,1,8,1,87.38,1017,10,315,18,0.5
2014,1,8,2,87.38,1017,10,315,22,0.2
2014,1,8,3,93.45,1017,9,315,27,0.5
2014,1,8,4,93.45,1018,9,315,33,0.3
2014,1,8,5,93.45,1018,9,315,39,0.3
2014,1,8,6,87.28,1019,9,315,45,0.4
2014,1,8,7,87.19,1020,8,45,8,0.3
2014,1,8,8,87.19,1021,8,45,16,0.2
2014,1,8,9,81.34,1023,8,45,23,0.1
2014,1,8,10,87.09,1024,7,45,30,0.3
2014,1,8,11,87.09,1024,7,45,36,0.3
2014,1,8,12,87.09,1023,7,315,6,0
2014,1,8,13,81.34,1023,8,315,12,0
2014,1,8,14,87.09,1023,7,315,17,0.1
2014,1,8,15,87.09,1024,7,315,24,0.6
2014,1,8,16,86.99,1025,6,45,8,0.4
2014,1,8,17,81.06,1026,6,45,15,0
2014,1,8,18,80.92,1027,5,45,23,0
2014,1,8,19,75.32,1028,5,45,30,0
2014,1,8,20,75.32,1028,5,45,37,0
2014,1,8,21,75.14,1029,4,45,44,0
2014,1,8,22,74.96,1029,3,45,48,0
2014,1,8,23,74.96,1030,3,45,52,0
2014,1,9,0,74.96,1030,3,45,56,0
2014,1,9,1,69.64,1030,3,45,61,0
2014,1,9,2,74.78,1031,2,45,67,0
2014,1,9,3,69.43,1031,2,45,71,0
2014,1,9,4,74.78,1031,2,45,75,0
2014,1,9,5,74.59,1032,1,45,78,0
2014,1,9,6,69.21,1032,1,315,4,0
2014,1,9,7,69.21,1033,1,315,7,0
2014,1,9,8,69.43,1033,2,45,4,0
2014,1,9,9,60,1034,3,45,10,0
2014,1,9,10,51.84,1034,4,45,16,0
2014,1,9,11,44.8,1033,5,45,21,0
2014,1,9,12,44.8,1033,5,45,27,0
2014,1,9,13,44.8,1032,5,45,33,0
2014,1,9,14,41.48,1031,5,45,39,0
2014,1,9,15,38.39,1031,5,45,45,0
2014,1,9,16,44.49,1031,4,45,50,0
2014,1,9,17,47.74,1032,3,45,55,0
2014,1,9,18,47.74,1032,3,45,59,0
2014,1,9,19,47.74,1033,3,45,62,0
2014,1,9,20,51.56,1034,3,45,65,0
2014,1,9,21,51.56,1034,3,45,68,0
2014,1,9,22,47.74,1033,3,45,71,0
2014,1,9,23,47.74,1033,3,135,3,0
2014,1,10,0,51.27,1033,2,45,1,0
2014,1,10,1,51.27,1033,2,45,3,0
2014,1,10,2,55.08,1034,1,45,4,0
2014,1,10,3,69,1034,0,225,2,0
2014,1,10,4,69,1033,0,None,0,0
2014,1,10,5,64.18,1033,1,45,2,0
2014,1,10,6,59.48,1033,1,45,3,0
2014,1,10,7,55.36,1034,2,45,5,0
2014,1,10,8,55.63,1034,3,135,3,0
2014,1,10,9,51.84,1034,4,135,7,0
2014,1,10,10,44.8,1034,5,135,12,0
2014,1,10,11,41.79,1033,6,135,16,0
2014,1,10,12,30.92,1032,7,135,20,0
2014,1,10,13,33.74,1032,8,135,24,0
2014,1,10,14,33.74,1031,8,135,28,0
2014,1,10,15,33.74,1030,8,135,32,0
2014,1,10,16,39.01,1029,7,135,36,0
2014,1,10,17,48.63,1031,6,45,5,0
2014,1,10,18,52.41,1031,6,135,5,0
2014,1,10,19,56.18,1032,5,45,4,0
2014,1,10,20,52.41,1032,6,45,8,0
2014,1,10,21,52.41,1032,6,45,12,0
2014,1,10,22,52.41,1032,6,45,17,0
2014,1,10,23,56.45,1032,6,45,21,0
2014,1,11,0,56.45,1031,6,45,25,0
2014,1,11,1,60.76,1031,6,45,29,0
2014,1,11,2,60.76,1031,6,45,33,0
2014,1,11,3,60.76,1031,6,45,37,0
