CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Tuesday, Jul 09 2019",,
Time: 10:01:50 AM,,
State,Delhi,
City,Delhi,
Station,"DTU, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,05-07-2019T00:00:00Z 00:00,
To,09-07-2019T10:01:59Z 00:00,
,,
"DTU, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
05-07-2019 00:00,05-07-2019 00:15,67.11
05-07-2019 00:15,05-07-2019 00:30,69.14
05-07-2019 00:30,05-07-2019 00:45,69.14
05-07-2019 00:45,05-07-2019 01:00,69.14
05-07-2019 01:00,05-07-2019 01:15,68.44
05-07-2019 01:15,05-07-2019 01:30,68.35
05-07-2019 01:30,05-07-2019 01:45,68.35
05-07-2019 01:45,05-07-2019 02:00,68.35
05-07-2019 02:00,05-07-2019 02:15,58.74
05-07-2019 02:15,05-07-2019 02:30,57.47
05-07-2019 02:30,05-07-2019 02:45,57.47
05-07-2019 02:45,05-07-2019 03:00,57.47
05-07-2019 03:00,05-07-2019 03:15,57.96
05-07-2019 03:15,05-07-2019 03:30,58.03
05-07-2019 03:30,05-07-2019 03:45,58.03
05-07-2019 03:45,05-07-2019 04:00,58.03
05-07-2019 04:00,05-07-2019 04:15,67.85
05-07-2019 04:15,05-07-2019 04:30,69.14
05-07-2019 04:30,05-07-2019 04:45,69.14
05-07-2019 04:45,05-07-2019 05:00,69.14
05-07-2019 05:00,05-07-2019 05:15,58.21
05-07-2019 05:15,05-07-2019 05:30,56.77
05-07-2019 05:30,05-07-2019 05:45,56.77
05-07-2019 05:45,05-07-2019 06:00,56.77
05-07-2019 06:00,05-07-2019 06:15,62.52
05-07-2019 06:15,05-07-2019 06:30,63.28
05-07-2019 06:30,05-07-2019 06:45,63.28
05-07-2019 06:45,05-07-2019 07:00,63.28
05-07-2019 07:00,05-07-2019 07:15,66.78
05-07-2019 07:15,05-07-2019 07:30,67.24
05-07-2019 07:30,05-07-2019 07:45,67.24
05-07-2019 07:45,05-07-2019 08:00,67.24
05-07-2019 08:00,05-07-2019 08:15,79.49
05-07-2019 08:15,05-07-2019 08:30,81.1
05-07-2019 08:30,05-07-2019 08:45,81.1
05-07-2019 08:45,05-07-2019 09:00,81.1
05-07-2019 09:00,05-07-2019 09:15,81.19
05-07-2019 09:15,05-07-2019 09:30,81.2
05-07-2019 09:30,05-07-2019 09:45,81.2
05-07-2019 09:45,05-07-2019 10:00,81.2
05-07-2019 10:00,05-07-2019 10:15,85.16
05-07-2019 10:15,05-07-2019 10:30,85.7
05-07-2019 10:30,05-07-2019 10:45,85.7
05-07-2019 10:45,05-07-2019 11:00,85.7
05-07-2019 11:00,05-07-2019 11:15,57.39
05-07-2019 11:15,05-07-2019 11:30,53.67
05-07-2019 11:30,05-07-2019 11:45,53.67
05-07-2019 11:45,05-07-2019 12:00,53.67
05-07-2019 12:00,05-07-2019 12:15,37.74
05-07-2019 12:15,05-07-2019 12:30,35.67
05-07-2019 12:30,05-07-2019 12:45,35.67
05-07-2019 12:45,05-07-2019 13:00,35.67
05-07-2019 13:00,05-07-2019 13:15,33.77
05-07-2019 13:15,05-07-2019 13:30,33.52
05-07-2019 13:30,05-07-2019 13:45,33.52
05-07-2019 13:45,05-07-2019 14:00,33.52
05-07-2019 14:00,05-07-2019 14:15,46.84
05-07-2019 14:15,05-07-2019 14:30,48.59
05-07-2019 14:30,05-07-2019 14:45,48.59
05-07-2019 14:45,05-07-2019 15:00,48.59
05-07-2019 15:00,05-07-2019 15:15,43.01
05-07-2019 15:15,05-07-2019 15:30,42.29
05-07-2019 15:30,05-07-2019 15:45,42.29
